algorithm_metric_id,algorithm_name,algorithm_version,metric_name,output,sample_type,start_date,end_date,country,population_name,population_details,sample_size,value,lower_ci95,upper_ci95,value_details,reference
40,Stanford CBC (Hemoglobin) model,N/A,ROC AUC,Abnormal Hemoglobin lab value,real-world use,1/1/2019,12/31/2021,United States,Adult,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",18982,0.83,0.83,0.84,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
41,Stanford CBC (Platelets) model,N/A,ROC AUC,Abnormal Platelet lab value,real-world use,1/1/2019,12/31/2021,United States,Adult,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",18982,0.77,0.76,0.78,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
42,Stanford CBC (White blood cell) model,N/A,ROC AUC,Abnormal White blood cell lab value,real-world use,1/1/2019,12/31/2021,United States,Adult,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",18982,0.69,0.68,0.70,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
43,Stanford Metabolic panel (Albumin) model,N/A,ROC AUC,Abnormal Albumin lab value,real-world use,1/1/2019,12/31/2021,United States,Adult,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",16441,0.85,0.84,0.86,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
44,Stanford Metabolic panel (Blood urea nitrogen) model,N/A,ROC AUC,Abnormal Blood urea nitrogen lab value,real-world use,1/1/2019,12/31/2021,United States,Adult,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",16441,0.80,0.79,0.81,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
45,Stanford Metabolic panel (Calcium) model,N/A,ROC AUC,Abnormal Calcium lab value,real-world use,1/1/2019,12/31/2021,United States,Adult,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",16441,0.79,0.78,0.81,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
46,Stanford Metabolic panel (Carbon dioxide) model,N/A,ROC AUC,Abnormal Carbon dioxide lab value,real-world use,1/1/2019,12/31/2021,United States,Adult,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",16441,0.62,0.61,0.63,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
47,Stanford Metabolic panel (Creatinine) model,N/A,ROC AUC,Abnormal Creatinine lab value,real-world use,1/1/2019,12/31/2021,United States,Adult,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",16441,0.75,0.74,0.76,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
48,Stanford Metabolic panel (Potassium),N/A,ROC AUC,Abnormal Potassium lab value,real-world use,1/1/2019,12/31/2021,United States,Adult,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",16441,0.60,0.59,0.62,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
49,Stanford Metabolic panel (Sodium) model,N/A,ROC AUC,Abnormal Sodium lab value,real-world use,1/1/2019,12/31/2021,United States,Adult,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",16441,0.71,0.70,0.72,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
50,Stanford Magnesium model,N/A,ROC AUC,Abnormal Magnesium lab value,real-world use,1/1/2019,12/31/2021,United States,Adult,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",5234,0.65,0.63,0.67,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
51,Stanford CBC (Hematrocrit) model,N/A,ROC AUC,Abnormal Hematrocrit lab value,validation,1/1/2019,12/31/2021,United States,Female sex,"""retrospective cohorts contained data from 2015 to 2021""",7103,0.85,0.83,0.88,See Supplemental Table 3,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
52,Stanford CBC (Hemoglobin) model,N/A,ROC AUC,Abnormal Hemoglobin lab value,validation,1/1/2019,12/31/2021,United States,Female sex,"""retrospective cohorts contained data from 2015 to 2021""",7103,0.88,0.86,0.90,"See Supplemental Table 4
","Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
53,Stanford CBC (Platelets) model,N/A,ROC AUC,Abnormal Platelet lab value,validation,1/1/2019,12/31/2021,United States,Female sex,"""retrospective cohorts contained data from 2015 to 2021""",7103,0.80,0.77,0.84,See Supplemental Table 6,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
54,Stanford CBC (White blood cell) model,N/A,ROC AUC,Abnormal White blood cell lab value,validation,1/1/2019,12/31/2021,United States,Female sex,"""retrospective cohorts contained data from 2015 to 2021""",7103,0.77,0.73,0.80,See Supplemental Table 5,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
55,Stanford Metabolic panel (Albumin) model,N/A,ROC AUC,Abnormal Albumin lab value,validation,1/1/2019,12/31/2021,United States,Female sex,"""retrospective cohorts contained data from 2015 to 2021""",6923,0.89,0.86,0.91,See Supplemental Table 7,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
56,Stanford Metabolic panel (Blood urea nitrogen) model,N/A,ROC AUC,Abnormal Blood urea nitrogen lab value,validation,1/1/2019,12/31/2021,United States,Female sex,"""retrospective cohorts contained data from 2015 to 2021""",6923,0.84,0.81,0.88,See Supplemental Table 8,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
57,Stanford Metabolic panel (Calcium) model,N/A,ROC AUC,Abnormal Calcium lab value,validation,1/1/2019,12/31/2021,United States,Female sex,"""retrospective cohorts contained data from 2015 to 2021""",6923,0.76,0.70,0.81,See Supplemental Table 9,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
58,Stanford Metabolic panel (Carbon dioxide) model,N/A,ROC AUC,Abnormal Carbon dioxide lab value,validation,1/1/2019,12/31/2021,United States,Female sex,"""retrospective cohorts contained data from 2015 to 2021""",6923,0.67,0.62,0.71,"See Supplemental Table 10
","Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
59,Stanford Metabolic panel (Creatinine) model,N/A,ROC AUC,Abnormal Creatinine lab value,validation,1/1/2019,12/31/2021,United States,Female sex,"""retrospective cohorts contained data from 2015 to 2021""",6923,0.76,0.73,0.80,See Supplemental Table 11,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
60,Stanford Metabolic panel (Potassium),N/A,ROC AUC,Abnormal Potassium lab value,validation,1/1/2019,12/31/2021,United States,Female sex,"""retrospective cohorts contained data from 2015 to 2021""",6923,0.65,0.57,0.72,See Supplemental Table 12,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
61,Stanford Metabolic panel (Sodium) model,N/A,ROC AUC,Abnormal Sodium lab value,validation,1/1/2019,12/31/2021,United States,Female sex,"""retrospective cohorts contained data from 2015 to 2021""",6923,0.78,0.73,0.80,See Supplemental Table 13,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
62,Stanford Magnesium model,N/A,ROC AUC,Abnormal Magnesium lab value,validation,1/1/2019,12/31/2021,United States,Female sex,"""retrospective cohorts contained data from 2015 to 2021""",5234,0.71,0.66,0.75,See Supplemental Table 14,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
63,Stanford CBC (Hematrocrit) model,N/A,ROC AUC,Abnormal Hematrocrit lab value,real-world use,1/1/2019,12/31/2021,United States,Female sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",10092,0.83,0.82,0.84,See Supplemental Table 3,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
64,Stanford CBC (Hemoglobin) model,N/A,ROC AUC,Abnormal Hemoglobin lab value,real-world use,1/1/2019,12/31/2021,United States,Female sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",10092,0.82,0.81,0.83,"See Supplemental Table 4
","Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
65,Stanford CBC (Platelets) model,N/A,ROC AUC,Abnormal Platelet lab value,real-world use,1/1/2019,12/31/2021,United States,Female sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",10092,0.76,0.75,0.77,See Supplemental Table 6,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
66,Stanford CBC (White blood cell) model,N/A,ROC AUC,Abnormal White blood cell lab value,real-world use,1/1/2019,12/31/2021,United States,Female sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",10092,0.68,0.67,0.69,See Supplemental Table 5,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
67,Stanford Metabolic panel (Albumin) model,N/A,ROC AUC,Abnormal Albumin lab value,real-world use,1/1/2019,12/31/2021,United States,Female sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",8711,0.86,0.85,0.87,See Supplemental Table 7,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
68,Stanford Metabolic panel (Blood urea nitrogen) model,N/A,ROC AUC,Abnormal Blood urea nitrogen lab value,real-world use,1/1/2019,12/31/2021,United States,Female sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",8711,0.79,0.77,0.80,See Supplemental Table 8,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
69,Stanford Metabolic panel (Calcium) model,N/A,ROC AUC,Abnormal Calcium lab value,real-world use,1/1/2019,12/31/2021,United States,Female sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",8711,0.78,0.76,0.80,See Supplemental Table 9,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
70,Stanford Metabolic panel (Carbon dioxide) model,N/A,ROC AUC,Abnormal Carbon dioxide lab value,real-world use,1/1/2019,12/31/2021,United States,Female sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",8711,0.61,0.59,0.62,"See Supplemental Table 10
","Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
71,Stanford Metabolic panel (Creatinine) model,N/A,ROC AUC,Abnormal Creatinine lab value,real-world use,1/1/2019,12/31/2021,United States,Female sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",8711,0.74,0.73,0.75,See Supplemental Table 11,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
72,Stanford Metabolic panel (Potassium),N/A,ROC AUC,Abnormal Potassium lab value,real-world use,1/1/2019,12/31/2021,United States,Female sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",8711,0.60,0.58,0.62,See Supplemental Table 12,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
73,Stanford Metabolic panel (Sodium) model,N/A,ROC AUC,Abnormal Sodium lab value,real-world use,1/1/2019,12/31/2021,United States,Female sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",8711,0.71,0.69,0.72,See Supplemental Table 13,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
74,Stanford Magnesium model,N/A,ROC AUC,Abnormal Magnesium lab value,real-world use,1/1/2019,12/31/2021,United States,Female sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",2425,0.67,0.63,0.70,See Supplemental Table 14,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
75,Stanford CBC (Hematrocrit) model,N/A,ROC AUC,Abnormal Hematrocrit lab value,validation,1/1/2019,12/31/2021,United States,Male sex,"""retrospective cohorts contained data from 2015 to 2021""",6259,0.87,0.84,0.89,See Supplemental Table 3,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
76,Stanford CBC (Hemoglobin) model,N/A,ROC AUC,Abnormal Hemoglobin lab value,validation,1/1/2019,12/31/2021,United States,Male sex,"""retrospective cohorts contained data from 2015 to 2021""",6259,0.88,0.86,0.90,"See Supplemental Table 4
","Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
77,Stanford CBC (Platelets) model,N/A,ROC AUC,Abnormal Platelet lab value,validation,1/1/2019,12/31/2021,United States,Male sex,"""retrospective cohorts contained data from 2015 to 2021""",6259,0.78,0.74,0.81,See Supplemental Table 6,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
78,Stanford CBC (White blood cell) model,N/A,ROC AUC,Abnormal White blood cell lab value,validation,1/1/2019,12/31/2021,United States,Male sex,"""retrospective cohorts contained data from 2015 to 2021""",6259,0.76,0.73,0.80,See Supplemental Table 5,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
79,Stanford Metabolic panel (Albumin) model,N/A,ROC AUC,Abnormal Albumin lab value,validation,1/1/2019,12/31/2021,United States,Male sex,"""retrospective cohorts contained data from 2015 to 2021""",6485,0.88,0.86,0.91,See Supplemental Table 7,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
80,Stanford Metabolic panel (Blood urea nitrogen) model,N/A,ROC AUC,Abnormal Blood urea nitrogen lab value,validation,1/1/2019,12/31/2021,United States,Male sex,"""retrospective cohorts contained data from 2015 to 2021""",6485,0.85,0.82,0.87,See Supplemental Table 8,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
81,Stanford Metabolic panel (Calcium) model,N/A,ROC AUC,Abnormal Calcium lab value,validation,1/1/2019,12/31/2021,United States,Male sex,"""retrospective cohorts contained data from 2015 to 2021""",6485,0.83,0.79,0.87,See Supplemental Table 9,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
82,Stanford Metabolic panel (Carbon dioxide) model,N/A,ROC AUC,Abnormal Carbon dioxide lab value,validation,1/1/2019,12/31/2021,United States,Male sex,"""retrospective cohorts contained data from 2015 to 2021""",6485,0.71,0.66,0.76,"See Supplemental Table 10
","Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
83,Stanford Metabolic panel (Creatinine) model,N/A,ROC AUC,Abnormal Creatinine lab value,validation,1/1/2019,12/31/2021,United States,Male sex,"""retrospective cohorts contained data from 2015 to 2021""",6485,0.77,0.74,0.81,See Supplemental Table 11,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
84,Stanford Metabolic panel (Potassium),N/A,ROC AUC,Abnormal Potassium lab value,validation,1/1/2019,12/31/2021,United States,Male sex,"""retrospective cohorts contained data from 2015 to 2021""",6485,0.68,0.62,0.71,See Supplemental Table 12,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
85,Stanford Metabolic panel (Sodium) model,N/A,ROC AUC,Abnormal Sodium lab value,validation,1/1/2019,12/31/2021,United States,Male sex,"""retrospective cohorts contained data from 2015 to 2021""",6485,0.79,0.74,0.83,See Supplemental Table 13,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
86,Stanford Magnesium model,N/A,ROC AUC,Abnormal Magnesium lab value,validation,1/1/2019,12/31/2021,United States,Male sex,"""retrospective cohorts contained data from 2015 to 2021""",6338,0.70,0.66,0.74,See Supplemental Table 14,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
87,Stanford CBC (Hematrocrit) model,N/A,ROC AUC,Abnormal Hematrocrit lab value,real-world use,1/1/2019,12/31/2021,United States,Male sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",8884,0.83,0.83,0.84,See Supplemental Table 3,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
88,Stanford CBC (Hemoglobin) model,N/A,ROC AUC,Abnormal Hemoglobin lab value,real-world use,1/1/2019,12/31/2021,United States,Male sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",8884,0.84,0.83,0.85,"See Supplemental Table 4
","Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
89,Stanford CBC (Platelets) model,N/A,ROC AUC,Abnormal Platelet lab value,real-world use,1/1/2019,12/31/2021,United States,Male sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",8884,0.78,0.77,0.79,See Supplemental Table 6,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
90,Stanford CBC (White blood cell) model,N/A,ROC AUC,Abnormal White blood cell lab value,real-world use,1/1/2019,12/31/2021,United States,Male sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",8884,0.70,0.69,0.71,See Supplemental Table 5,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
91,Stanford Metabolic panel (Albumin) model,N/A,ROC AUC,Abnormal Albumin lab value,real-world use,1/1/2019,12/31/2021,United States,Male sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",7724,0.84,0.83,0.85,See Supplemental Table 7,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
92,Stanford Metabolic panel (Blood urea nitrogen) model,N/A,ROC AUC,Abnormal Blood urea nitrogen lab value,real-world use,1/1/2019,12/31/2021,United States,Male sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",7724,0.80,0.78,0.81,See Supplemental Table 8,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
93,Stanford Metabolic panel (Calcium) model,N/A,ROC AUC,Abnormal Calcium lab value,real-world use,1/1/2019,12/31/2021,United States,Male sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",7724,0.81,0.79,0.82,See Supplemental Table 9,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
94,Stanford Metabolic panel (Carbon dioxide) model,N/A,ROC AUC,Abnormal Carbon dioxide lab value,real-world use,1/1/2019,12/31/2021,United States,Male sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",7724,0.63,0.61,0.64,"See Supplemental Table 10
","Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
95,Stanford Metabolic panel (Creatinine) model,N/A,ROC AUC,Abnormal Creatinine lab value,real-world use,1/1/2019,12/31/2021,United States,Male sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",7724,0.75,0.74,0.76,See Supplemental Table 11,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
96,Stanford Metabolic panel (Potassium),N/A,ROC AUC,Abnormal Potassium lab value,real-world use,1/1/2019,12/31/2021,United States,Male sex,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",7724,0.60,0.58,0.63,See Supplemental Table 12,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
